评论者,评论内容,评分,评论时间,产品型号,地区
王***你,京东 物流 快 满减 活动 划算 款 口粮 酒 价格 不贵 酒体 清澈 酒花 漂亮 不辣喉 回味 悠长 淳甘 送人 满意,5,2024-01-29 11:17:54,六年窖头曲 52度500mL 整箱,江苏
u***w,包装 精美 细心 酒体 纯净 酒花 持续时间 较长 入口 不辣 第二天 上头 不错 一款 酒 性价比 高,5,2024-02-03 12:01:50,六年窖头曲 52度500mL 整箱,广东
b***f,货 收到 物流 很快 头 天下 单 第二天 收到 正品 口感 好 传统工艺 性价比 高 京东 物流 快 佩服 总在 京东 物品 很方心,5,2024-02-25 22:57:27,蓝花瓷头曲 52度500mL 礼盒,北京
z***n,听 朋友 说 还行 一分 价钱 一分货,3,2015-01-26 13:48:58,六年陈头曲09版-单瓶装,未知
F***8,包装 到位 精美 送人 棒 这款 酒 俩 一瓶 感觉 棒 平时 酒 海之蓝 感觉 这款 酒 感觉 好,5,2024-02-04 18:30:22,52度 500mL 2瓶 龙行大运礼盒,河南
N***s,包装 设计 酒味 年 味道 非常适合 过年 正月 走亲访友 应景 香型 口感 度 泸州老窖 经典 款 香气 四溢 口感 上佳 服务 耐心 细致 体贴 周到 物流 速度 快捷,5,2024-02-01 10:05:21,52度 500mL 2瓶 春节礼盒,江苏
S***f,泸州老窖 老牌子 家里人 喜欢 这款 酒 浓香型 酒 不辣口 头 晕 过年 过节 送 亲朋好友 合适 物美价廉 值得 购买 下次 购买,5,2024-02-22 19:08:49,六年窖头曲 52度500mL 整箱,四川
渊***念,这款 酒 太棒了 色泽 金黄 口感 醇厚 芳香 四溢 入口 顺滑 回味 悠长 这款 酒 品牌 注重 品质 口感 采用 优质 原材料 独特 酿造 工艺 一口 散发出 迷人 酒香 味道 无论是 朋友 聚餐 商务 宴请 享用 绝佳 选择 强烈推荐 喜欢 酒类 饮料 朋友,5,2024-02-03 16:43:21,六年窖头曲 52度500mL 单瓶,北京
J***o,家里 老人 买来 家里 老人 喝酒 爷爷 说 喜欢 口感 不错 符合 爷爷 口味 酒香 浓郁 经济 实惠 泸州老窖 第二天 头疼,5,2024-02-19 22:48:54,六年窖头曲 52度500mL 整箱,上海
一***天,包装 设计 颜色 鲜艳 包装 完整 好 实惠 香型 口感 过年 备货 用过 再评 不错 服务 到位 无感 体验 物流 速度 快速 送到 家 京东 物流 很棒 年货 愁,5,2024-02-05 02:16:25,六年窖头曲 52度500mL 整箱,上海
f***w,泸州老窖 老 品牌 酒 老爸 喜欢 浓香型 白酒 味道 不错 搞 活动 囤 留着 平时 真心 不错 还会 购买,5,2024-01-31 21:57:31,六年窖头曲 52度500mL 单瓶,天津
t***9,泸州老窖 这酒 口感 不错 喝酒 送礼 招待 包装 严实 下层 气垫 满 两瓶 送 手提袋 关键 到货 速度 快,5,2024-02-09 13:09:44,六年窖头曲 52度500mL 单瓶,天津
g***5,好久 选择 这款 没 失望 送礼 打开 点 不错 包装 设计 好看 龙年 限定 款 大红 包装袋 口感 香味 四溢 入口 柔和 服务到位 超级 棒 物流 速度 京东 快递 快 上午 下单 下午 送到,5,2024-02-03 09:51:05,52度 500mL 2瓶 龙行大运礼盒,安徽
黑***3,泸州老窖 六年 窖 头曲 这款 白酒 不错 纯 粮食 酒 入口 顺口 上头 头疼 赶上 京东 活动 价格 美丽 值得 推荐 一款 口粮 酒,5,2024-02-04 11:50:20,六年窖头曲 52度500mL 整箱,江西
C***x,款 泸州老窖 惊艳 包装 精美 彰显 高贵 品质 酒体 纯净 透明 酒香 四溢 口感 醇厚 柔和 一口 感受 时间 沉淀 历史 韵味 强烈推荐 喜欢 品酒 朋友,5,2024-02-18 11:00:21,52度 500mL 2瓶 龙行大运礼盒,河北
j***w,年 新款 龙年 主题 特别 年 味 喜庆 希望 大伙 龙年 行大运 包装 设计 龙年 主题 高端 大气 送礼 倍 面子 送 杯子 酒壶 过年 老爸 两口 忙 一年 香型 口感 没喝 物流 速度 物流 速度 很快 天,5,2024-02-05 09:41:59,52度 500mL 2瓶 龙行大运礼盒,广西
索***u,酒香 纯正 入口 留香 品牌 品控 纯良 酿造 昨天晚上 两瓶 反馈 价位 酒 不错 评价 过年 不错,5,2024-02-09 17:42:34,52度 500mL 6瓶 淡雅头曲,河北
不***a,泸州老窖 酒 收到 用于 姥姥家 孩子 办 满月 酒 一箱 瓶 两箱 京东 买酒 送货上门 酒瓶子 设计 很漂亮 亲戚 说 味道 不错 美 好 价格 买些 留 家,5,2024-01-31 17:50:25,六年窖头曲 52度500mL 整箱,天津
j***e,包装 设计 好 服务 到位 物流 速度 快 香型 口感 香味 挺 浓 口感 不错 入口 很辣 值得 购买 一款 酒,5,2024-02-03 18:05:31,六年窖头曲 52度500mL 单瓶,山东
j***j,泸州老窖 兰花 瓷头曲 不错 口粮 酒 口感 棒 浓郁 回香 持久 酒体 干净 爽净 价格 平时 口粮 酒 性价比 高 送 朋友 招待 好 选择 好 价时 建议 整箱 购买 强烈推荐,5,2024-02-01 14:14:52,52度 1L 6瓶 蓝花瓷头曲大容量,新疆
得***地,宝贝 质量 好 满意 收到 喜欢 卖家 服务态度 不错 香型 口感 不错 价格 实惠 性价比 高 适合 家里 没事 喝喝 请 朋友,5,2024-02-01 21:41:53,六年窖头曲 52度500mL 单瓶,北京
j***9,购物 体验 良好 商品质量 可靠 卖家 描述 相符 发货 速度快 包装 仔细 物流 客服 服务 热情 满意 购物 体验 好,5,2024-02-19 21:32:45,52度 500mL 2瓶 龙行大运礼盒,河北
c***川,平常 白酒 特意 攻略 发现 款 六年 窖 头曲 推荐 率 高 口感 好 性价比 高 价格 合适 jd 一箱 包含 三个 礼袋 可送 自饮 开瓶 尝 入口 浓郁 有劲 甜口 余味 回甜 酒体 干净 整体 满意 俘获 众多 老 饕 好评 推荐 值得 第一次 尝试,5,2024-02-20 18:45:49,六年窖头曲 52度500mL 整箱,新疆
缘***生,物流 依旧 力 第二天 当天 打开 两瓶 浅尝 一口 回味 悠长 口感 刚刚 好 朋友 轻松 喝酒 感觉 泸州老窖 依然 值得 信赖 活动 划算 值得 信赖,5,2024-02-02 21:42:59,六年窖头曲 52度500mL 整箱,河南
蒋***子,包装 设计 高端 大气 上档次 香型 口感 口感 浓郁 有劲 服 务 服务 好 物流 速度 京东 物流 很快 京东,5,2024-02-22 22:49:31,六年窖头曲 52度500mL 整箱,广西
j***j,龙年 包装 很大 气 喜庆 好看 满满的 一大 盒 送 酒杯 送给 爸爸 喜欢 龙年大吉 十分满意 京东 快递 力 破损 第二天 几天 很棒 很棒,5,2024-02-03 16:15:28,52度 500mL 2瓶 龙行大运礼盒,江西
H***Y,家里 宴席 件 口感 特别 好 说 好酒 好喝 不错 一款 白酒 品牌 值得 信赖 推荐 朋友 购买 说 酒 好 值得 喜欢,5,2024-02-14 11:07:05,六年窖头曲 52度500mL 整箱,四川
j***g,过年 送礼 价格 包装 好 配送 很快 礼盒装 适合 送礼 很大 一盒 高大 酒好 不好喝 希望 好喝,5,2024-02-07 19:15:52,六年窖头曲 路路顺 礼盒,福建
l***e,这款 泸州老窖 不错 口感 绵柔 真的 舒服 聚会 带 好 东西 过年 一看 礼盒装 好 送人 面子 不错,5,2024-02-05 09:13:46,52度 500mL 2瓶 春节礼盒,山东
翼***轩,龙年 礼盒 高端 大气 上档次 适合 礼品 泸州老窖 品牌 够 硬 出手 价格 实惠 确实 好 伴手 礼 口感 好 上头 不口 干,5,2024-02-23 13:08:04,52度 500mL 2瓶 龙行大运礼盒,安徽
大***羊,泸州老窖 六年 窖 头曲 浓香型 白酒 度 ml 瓶 龙年 礼盒 节日 送礼 看着 不错 很大 气 上档次 适合 过年 送 家人,5,2024-02-12 17:27:08,52度 500mL 2瓶 龙行大运礼盒,山东
l***e,快 喝完 想 评价 酒 真不错 挺 好 绵柔 很纯 难受 上头 确实 好 东西 喝酒 哥们 平时 喝了酒 脸红 没事 好酒,5,2024-02-05 09:10:50,52度 500mL 2瓶 春节礼盒,山东
谁***w,泸州老窖 名酒 系列 瓶身 厚 菱形 造型 好看 两盒 送 手提袋 非常适合 送人 拎 京东 物流 很快 外面 纸箱包装 内部 包装盒 压坏 很棒,5,2024-02-06 09:50:30,六年窖头曲 52度500mL 单瓶,山东
s***5,泸州老窖 中国 白酒 代表 醇香 浓郁 回味 悠长 著名 其特 曲酒 更是 备受 酒友 喜爱 入口 绵软 口感 醇厚 饮 难忘 包装 精美 适合 送人 自饮,5,2024-01-30 15:54:52,52度 500mL 2瓶 春节礼盒,山东
z***0,双层 包装 物流 飞快 防护 好 酒 正品 高端 大气 口感 醇香 落口儿 甜 质量 没得说 专卖店 特别 特别 喜欢 价格 优惠 好 购物 体验 服务周到 物流 快速 配送 周到 态度 好 物有所值 果断 好评 平时 便宜 囤 特别 特别 满意 超级 好看 客服 礼貌 客气 良心 商家 支持 外观设计 漂亮 尺寸 大小 合适 包装 仔细 完整 宝贝 手感 不错 感觉 好 发货 速度快 服务态度 一流 给力 星 好评 产品 真的 超级 棒 下次 还会 愿 越做越 好 好 购物 体验 bull ㅂ bull و 价格 超 优惠 性能 棒 完美 购物 东西 质量 好 卖家 描述 完全一致 满意 选购 方便快捷 快递 小哥 态度 好 价格 给力 推荐 回购 优惠 赶紧 入手 正品 包装 好 破损 质量 没得说 棒 包装 好 质量 棒 宝贝 完全符合 卖家 描述 放心 购买 感谢 搞 活动 外观 描述 美观 实用 材质 手感 不错 好评 正品 放心 价钱 公道 满意 正品 放心 价钱 公道 满意 正品 放心 价钱 公道 满意 正品 放心 价钱 公,5,2024-02-14 20:10:46,六年窖头曲 52度500mL 整箱,河北
T***8,包装 设计 内包装 外包装 之少 稳当 不洒 漏 香型 口感 过后 追加 评论 服务 商家 服务态度 好 热心 物流 速度 很快 京东 物流 第二天 早上,5,2024-02-05 09:47:02,六年窖头曲 52度500mL 整箱,重庆
软***枕,白酒 品牌 真的 岁数 信赖 品牌 过年 两箱 走亲访友 还配 礼物 袋 挺 满意 不错 留香 绵柔 喜欢 白酒 家里 老人 很认 牌子 满意 春节 中秋 必 囤 白酒,5,2024-02-17 12:29:01,六年窖头曲 52度500mL 整箱,山东
大***1,酒 味道 不错 价格 适中 包装 设计 高档 档次 适口 性 不错 挺香 宴请 宾客 合适 昨天 乔迁 请客 这款 客人 说 不错,5,2024-02-01 20:29:38,52度 500mL 2瓶 龙行大运礼盒,福建
主***加,过年 送礼 首选 价格 美丽 东西 不错 回购 全 五分 奈斯 奈斯 品牌 值得 信赖 贵有 贵 道理 很棒 商品,5,2024-02-10 17:45:20,六年窖头曲 52度500mL 整箱,天津
j***d,直播 活动 合算 两箱 过年 走亲戚 访友 合适 不错 选择 酒品 醇正 味道 香美 下次 还会 光顾,5,2024-02-20 20:02:51,六年窖头曲 52度500mL 整箱,安徽
j***2,家里 过年 走亲戚 带上 两瓶 泸州老窖 酒 泸州老窖 品牌 爸爸 年轻 时里 爸爸 七十多 口味 正 上头 好酒 京东 物流 力,5,2024-02-07 15:13:30,六年窖头曲 52度500mL 整箱,江苏
T***-,包装 很大 气 送礼 家里 客人 老喝 酒 面子 不错 性价比 高 老人 喜欢 包装 设计 很大 气 送礼 面子 香型 口感 打开 浓郁 酒香 服务 态度 好 物流 速度 第二天 物流 很快,5,2024-02-15 16:32:54,52度 500mL 2瓶 龙行大运礼盒,河南
j***都,这款 酒 好喝 贵 口感 不错 口粮 酒备 喝完 上头 家人 一款 回购 好 每次 活动 几箱 一买,5,2024-02-17 21:16:08,六年窖头曲 52度500mL 整箱,江苏
j***s,京东 自营 值得 信赖 礼盒 漂亮 很大 气 送礼 好 礼盒 酒具 精美 泸州老窖 六年 喝多 头不疼 口感 香甜 醇厚 说 百元 口粮 酒中 好喝 一款 持续 回购,5,2024-02-02 15:35:37,六年窖头曲 瑞兔呈祥 礼盒,北京
j***k,泸州老窖 收到 购买 好 几次 满意 泸州老窖 品牌 酒香 纯正 入口 绵柔 窖 香 浓郁 值得 购买 纯 粮食 酒 京东 物流 快 快递 小哥 送贸到 家 值得 信赖,5,2024-02-03 18:18:41,52度 500mL 2瓶 龙行大运礼盒,内蒙古
无***昊,喜欢 味道 不同于 大部分 酒水 特别 沉香 味道 一下子 爱 味道 果断 回购 服务 好 承诺 赠品 兑现 满意 物流 不错 快递 小哥 负责,5,2024-02-10 08:49:42,52度 500mL 2瓶 春节礼盒,内蒙古
w***1,泸州老窖 旗下 年 窖 头曲 入门级 口粮 酒 口感 不错 入口 不冲 入口 个人感觉 比特 曲好 酒后 感觉 特曲 更上一层楼 但头曲 价格 更具 性价比 包装 简介 大气 京东 物流 贼 快,5,2024-02-17 07:26:34,六年窖头曲 52度500mL 整箱,浙江
D***9,包装 设计 有礼袋 分装 送礼 过年 走亲戚 首选 香型 口感 酒香 浓郁 好 物流 速度 物流 很快 第二天 送到 满意,5,2024-02-15 19:30:50,六年窖头曲 52度500mL 整箱,天津
蓝***海,三是 泸州老窖 送 评鉴 酒 真的 喜欢 泸州老窖 大气 泸州老窖 大气 泸州老窖 酒 满意 口粮 酒 首选,5,2024-01-30 12:08:37,六年窖头曲 52度500mL 整箱,安徽
超***2,包装 设计 送礼 专用 太好了 高端 品质 带 礼袋 面子 香型 口感 好 泸州 正品 查 真假 服务 送货 快 碎裂 物流 速度 物流 没得说 京东 下单 次日 达 特别 快,5,2024-02-19 10:53:45,52度 500mL 2瓶 龙行大运礼盒,辽宁
卓***陆,推荐 购买 推荐 购买 推荐 购买 爸爸 喜欢 喝酒 特别 高度 酒 过生日 爸爸 爸爸 说 过年 超爱 下酒菜 好 回去 喜欢 推荐,5,2024-01-30 21:03:34,52度 500mL 2瓶 龙行大运礼盒,北京
l***e,口粮 酒 不错 泸州老窖 值得 信赖 一点 冷 mdash mdash 泸州老窖 六年 窖 头曲 浓香型 白酒 度 ml 瓶 整箱 装 内含 礼品袋,5,2024-02-01 12:03:15,六年窖头曲 52度500mL 整箱,湖南
j***e,包装 设计 精美 红色 龙年 包装 特别 上档次 香型 口感 口感 绵柔 亲朋好友 爱喝 物流 速度 物流 快 包装 完好 上门 送货 给力 服务 京东 服务 到位 态度 好 解决 速度快,5,2024-02-02 21:09:36,52度 500mL 2瓶 龙行大运礼盒,河北
低***哥,泸州老窖 品牌 入口 棉甜 第三次 回购 酒 礼盒 颜值 高 好喝 过节 送 好友 不错 值得 推荐 京东 购物 正品,5,2024-02-11 08:27:36,52度 500mL 2瓶 龙行大运礼盒,北京
j***g,朋友 推荐 买来 试试 确实 不错 回购 香型 口感 挺 好 包装 设计 好 物流 速度 速度 很快 服务 态度 好,5,2024-02-20 13:54:33,六年窖头曲 52度500mL 整箱,上海
w***7,酒 上头 很多年 包装 设计 喜欢 包装 香型 口感 入口 舒服 物流 速度 速度快 服务 速度快,5,2024-02-15 16:20:15,六年窖头曲 52度500mL 整箱,江苏
j***3,第二天 师傅 送货上门 不错 好多年 感觉 不错 送货 快 东西 完美 体积 正好 合适 不大不小 宝贝 描述 相符 五星 好评 客服 态度 很大 方 简约 性价比 高 妈妈 满意 放心 值得 推荐 出乎意料 地好 安装 即时 朋友 特别 好用 物美价廉 购买 产品 选 一款 很棒 价格便宜 安装 售后 好,5,2024-02-17 16:37:59,52度 500mL 2瓶 龙行大运礼盒,湖南
尼***经,要说 档次 算是 档次 不算 特别 高 档次 包装 不错 提 手里 沉甸甸 一共 两瓶 酒 送 酒杯 送礼 不错 喝酒 买来 送人 口味 无从 评价,5,2024-02-08 19:39:52,52度 500mL 2瓶 龙行大运礼盒,四川
圆***O,六年 头 泸州老窖 不错 一款 白酒 过年 走亲戚 串 朋友 工薪 阶级 拿的出手 面子 包装 精美 口感 好 不口 干 上头 值得 购买 好评,5,2024-02-07 19:21:45,六年窖头曲 52度500mL 整箱,天津
蚂***米,泸州老窖 历史悠久 品牌 信赖 白酒 品牌 节日 活动 购买 这款 礼盒装 收到 货后 惊喜 包装 精美 龙年 应景 分 酒器 酒杯 入口 酒香 浓郁 口感 好 回味无穷 物流 速度 很快 值得 点赞,5,2024-02-05 08:27:42,52度 500mL 2瓶 龙行大运礼盒,北京
j***e,包装 设计 包装 设计 挺 好 过年 送人 挺 喜庆 香型 口感 口感 买来 送人 没喝 服务 服务态度 不错 点个 赞 物流 速度 物流 很快 收到 包装 完好 破损,5,2024-02-04 09:03:39,52度 500mL 2瓶 龙行大运礼盒,辽宁
l***氪,好评 好评 京东 酒水 活动 补贴 保障 支持 京东 酒家 满意 喜庆 龙年大吉 好 赞 京东 物流 无敌,5,2024-02-12 17:53:49,52度 500mL 6瓶 红酝头曲整箱,山东
j***1,包装 设计 包装 给力 送 三个 礼袋 酒瓶 沉甸甸 分量 香型 口感 香醇 过年 口粮 酒 服务 好 京东 没 说 物流 速度 快 春节 期间 次日 达 给力 新年 年货 京东 送货 快 货品 真 送货上门 一箱 一箱,5,2024-02-15 12:48:48,六年窖头曲 52度500mL 整箱,广东
笑***g,酒 收到 商家 发货 速度 很快 包装 好 破损 礼盒 破损 送礼 拎 物流 速度 很快 酒质 好 口感 细腻 醇厚 好喝 上头 服务 一流 好评 喝完 回购,5,2024-02-01 20:29:47,52度 500mL 2瓶 春节礼盒,山东
愛***呀,礼盒 好看 送人 上档次 符合 过年 气氛 喜庆 京东 快递 速度 杠杠 到货 快 京东 小哥 服务态度 酒 入口 好 上头 不错,5,2024-01-29 17:13:14,52度 500mL 2瓶 春节礼盒,江苏
A***1,公司 聚会 性价比 极高 入口 柔 上头 包装 设计 大气 喜庆 香型 口感 口感 醇厚 香甜 物流 速度 四 小时 速达 服务 优,5,2024-02-01 19:23:12,52度 500mL 2瓶 春节礼盒,浙江
Z***6,一箱 试试 家人 说 过年 箱 泸州老窖 老 品牌 性价比 高 浓香型 酒 家人 说 难受 上头 闻 味道 相比 酱香型 喜欢 浓香型 味道 口粮 酒 价钱 合适 口粮 酒 活动 价 实惠,5,2024-02-12 10:58:42,六年窖头曲 52度500mL 整箱,河南
T***慯,不错 送礼 有面 好看 酒香 浓 买来 送人 礼盒 好看 大气 物流 速度 杠杠 下单 第二天 送人 下次 购买,5,2024-02-24 20:16:38,52度 500mL 2瓶 龙行大运礼盒,广东
青***5,泸州老窖 这款 酒 不错 京东 自营 店铺 里 商品质量 好 京东 物流 更是 超级 棒 快 送货上门 服务态度 好 是从 京东 自营 店买 各种各样 商品 赞,5,2024-02-14 20:50:56,52度 500mL 2瓶 龙行大运礼盒,山东
j***m,第二次 购买 生肖 款 好看 包装 用心 外边 箱子 单看 外包装 箱子 好看 里边 泡沫 手提袋 送礼 喜庆 包装 满分 物流 速度 快 口感 醇香 好,5,2024-02-06 21:25:31,52度 500mL 2瓶 龙行大运礼盒,山东
最***d,爱 爱 挺 好 想象 中 随意 搭 好看 满意 泸州老窖 美丽 京东 物流 很快 爱 爱 好 真的 物美价廉 大爱 京东 超市 好 物流 美丽,5,2024-02-03 20:35:03,六年窖头曲 52度500mL 整箱,上海
j***w,产品 描述 质量上乘 工艺 细致 商家 服务周到 值得 购买 物流 快捷 准时 产品 外观 精致 优雅 用料 精挑 细琢 品质 上乘 追求 完美 卓越 环保 达标 无污染 做工 精细 注重 细节 品类 齐全 正品 保障 特别 好用 品牌 工艺 上乘 好评 nbsp,5,2024-02-21 02:57:04,六年窖头曲 52度500mL 整箱,吉林
